                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95515,                 3.2933,                 1.3922,                0.82825,                0.20455,                0.39764,                0.23133,                 1.1327,                 3.6672,                 1.5692,             0.00041159,             0.00041159,             0.00041159
                      2,                 1.0783,                 2.7024,                 1.4857,                0.26034,                0.31251,                0.21337,                0.12189,                 1.7812,                 4.0845,                 2.4825,             0.00074626,             0.00074626,             0.00074626
                      3,                 1.1547,                 2.4038,                 1.5392,                0.22533,                0.39112,                0.24642,                0.11411,                 1.9304,                 4.5049,                 2.5725,             0.00099842,             0.00099842,             0.00099842
                      4,                 1.1471,                 2.0908,                 1.5164,                0.45394,                0.47417,                0.45086,                0.25949,                 1.3713,                 2.3455,                 1.7721,             0.00087875,             0.00087875,             0.00087875
                      5,                 1.1448,                  1.854,                 1.4994,                0.39368,                0.55238,                0.48009,                 0.2816,                  1.313,                 2.4337,                 1.6633,               0.000755,               0.000755,               0.000755
                      6,                 1.0496,                 1.6079,                 1.4273,                0.69423,                0.61329,                0.68945,                0.47142,                 1.0718,                 1.5718,                  1.456,             0.00063125,             0.00063125,             0.00063125
                      7,                0.94726,                 1.3979,                  1.341,                0.61827,                0.67508,                 0.6882,                0.47723,                  1.016,                 1.5123,                 1.3709,              0.0005075,              0.0005075,              0.0005075
                      8,                0.86595,                 1.2263,                 1.2876,                0.76479,                0.74927,                0.79185,                0.57363,                0.95251,                 1.2534,                 1.3388,             0.00038375,             0.00038375,             0.00038375
                      9,                0.79989,                 1.0861,                 1.2227,                0.80548,                0.75599,                 0.8236,                0.63238,                0.85718,                 1.0921,                 1.2714,                0.00026,                0.00026,                0.00026
                     10,                0.74602,                 1.0097,                 1.1742,                0.79287,                0.77563,                0.82201,                0.63014,                0.81907,                 1.0499,                  1.239,             0.00013625,             0.00013625,             0.00013625
