image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
depositphotos_245876718-stock-photo-senior-man-sitting-alone-living.jpg,not-fall,0.48583904,0.4105123,0.49577314,0.39432043,0.47742268,0.38913906,0.5087613,0.3880487,0.45808354,0.37511685,0.5348235,0.44453815,0.42383927,0.43699723,0.54643744,0.53933173,0.4013729,0.53789306,0.51694703,0.56656206,0.42696017,0.5565233,0.5117384,0.60397875,0.43683705,0.6009779,0.5127794,0.6061681,0.41441655,0.60459226,0.465867,0.7979188,0.39973876,0.78676903
download (5).jpeg,not-fall,0.0,0.0,0.0,0.0,0.0,0.0,0.5981546,0.19426048,0.0,0.0,0.585692,0.2655336,0.63685936,0.25935814,0.5590007,0.35813266,0.66997373,0.34798214,0.54271775,0.43878758,0.7029215,0.40758482,0.5994469,0.44050348,0.63057935,0.43800744,0.59884334,0.5799844,0.6292914,0.57762736,0.61013925,0.72695595,0.63305867,0.71490604
man-sitting-on-floor-next-to-couch-dirtier-than-toilet-seat.jpg,not-fall,0.6077772,0.38206172,0.6302494,0.3314225,0.5858649,0.33029428,0.66802394,0.31346303,0.55427825,0.3106552,0.736637,0.49827865,0.49093685,0.5143247,0.7952589,0.78948736,0.4382587,0.82472336,0.74897623,0.87914836,0.4973976,0.8386956,0.70632017,0.95409334,0.54098207,0.9657215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3008.jpg,not-fall,0.59714884,0.26984957,0.64075774,0.23741877,0.59220654,0.21364519,0.7267578,0.2511891,0.0,0.0,0.7998194,0.3942156,0.5370672,0.38408473,0.8396929,0.7286503,0.49332315,0.6990677,0.67127305,0.8153225,0.5866917,0.47121722,0.79824996,0.8769153,0.60300124,0.8653036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3020.jpg,not-fall,0.3209638,0.2603111,0.3331393,0.22761916,0.29804975,0.23073843,0.0,0.0,0.25507075,0.22599581,0.37745973,0.30048394,0.19764104,0.35784638,0.47062495,0.3023544,0.17951739,0.5429647,0.5999634,0.3036333,0.31755584,0.61497974,0.3775548,0.6324519,0.2532,0.6765679,0.5108621,0.6316571,0.31399232,0.6948803,0.40849197,0.8596613,0.21507764,0.9178196
images (30).jpeg,not-fall,0.50603557,0.24845025,0.52239573,0.22362112,0.48811483,0.22773193,0.55100477,0.23368205,0.46665168,0.24315625,0.6030079,0.35916364,0.4352377,0.37017715,0.628708,0.50873816,0.42649427,0.51496726,0.0,0.0,0.467307,0.5579944,0.59140575,0.6320152,0.4778916,0.6364918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3034.jpg,not-fall,0.32832143,0.20837763,0.34311804,0.17754537,0.3091891,0.1843942,0.36709812,0.18443298,0.28744245,0.20358862,0.41099584,0.31925663,0.2536333,0.33080932,0.42936206,0.54232365,0.2249627,0.50942403,0.37965244,0.6208267,0.29002908,0.45726892,0.37215853,0.5950779,0.27861646,0.5958621,0.31964767,0.57374835,0.2594826,0.5850022,0.2855952,0.8194866,0.3098367,0.83657104
images (2).jpeg,not-fall,0.5274171,0.30718648,0.544279,0.2722798,0.5222143,0.27772442,0.59891456,0.27570847,0.0,0.0,0.67774796,0.44045687,0.55411744,0.4135485,0.67079955,0.66816825,0.5049859,0.58693355,0.5291632,0.6525463,0.4679036,0.6112702,0.578555,0.74914044,0.5049515,0.70741683,0.41993326,0.62402076,0.3836746,0.5830853,0.29338232,0.8789328,0.32663777,0.86050004
download.jpeg,not-fall,0.18037193,0.22311987,0.1793777,0.20872454,0.16100909,0.21216637,0.0,0.0,0.1173019,0.24508654,0.19244298,0.34198454,0.09922035,0.36017072,0.25843066,0.42601478,0.19909564,0.46116796,0.30963096,0.3750043,0.28430462,0.38492414,0.19480233,0.65540904,0.11799049,0.6675771,0.23372109,0.8955657,0.10209727,0.9209669,0.0,0.0,0.0,0.0
rgb_0096.png,not-fall,0.33821055,0.39452866,0.33745575,0.38352534,0.3281948,0.3852682,0.0,0.0,0.29907894,0.39277467,0.3256263,0.45088238,0.29833192,0.46633518,0.35186678,0.5245091,0.30043066,0.5673638,0.369183,0.58921224,0.32159808,0.62990457,0.34942633,0.6133495,0.3286048,0.62221617,0.360109,0.7255055,0.3257961,0.7344524,0.34140965,0.8176296,0.27415833,0.8200299
