video,truth,found,correct,false,missed
2_persons_crossing.MTS,[],[],[],[],[]
crowd_mon_cam_oh_straat (4)_tripping.mp4,[],[],[],[],[]
crowd_mon_cam_oh_straat (6)_fooling_algo_spreading_arms.mp4,[],[],[],[],[]
FallBehindObject.mp4,[100],[139],[100],[],[]
FallingAwayFromCamera.mp4,[220],[1460],[],[1460],[220]
person_laying_but_ok_1.mp4,[],[],[],[],[]
person_laying_but_ok_3.mp4,[],[],[],[],[]
person_tying_laces_back.MTS,[],[183],[],[183],[]
person_tying_laces_front.MTS,[],[548],[],[548],[]
person_walking_front_02.MTS,[],[],[],[],[]
pos_6.mp4,[250],[195],[250],[],[]
pos_7.mp4,[300],[251],[300],[],[]
pos_10.mp4,[300],[215],[300],[],[]
Segway Fall.mp4,[],[],[],[],[]
simulation_chantier_2.mp4,[700],[772],[700],[],[]
simulation_chantier.mp4,[500],[505],[500],[],[]
simulation_proximus_2_fall_in_line_with_cam_view.MTS,[135],[232],[135],[],[]
simulation_real_accident_001.MTS,[260],[159],[260],[],[]
Stroke_Simulation_1.mp4,[250],[347],[250],[],[]
Stroke_Simulation_2.mp4,[200],[],[],[],[200]
sudden cardiac arrest tatami.webm,[170],[],[],[],[170]
young_man_living_1.mp4,[850],[753],[850],[],[]
young_man_living_2.mp4,[340],[],[],[],[340]
young_man_watching_tv.mp4,[],[233],[],[233],[]
